index,residual,influ,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
0.000000000000000000e+00,-1.069320625097408595e+01,4.753508446098731236e-04,7.817231425241281784e+00,-3.522908350499378116e+01,1.814639908128724555e-01,-8.156770170525062813e-01,4.175859764009316244e+00,2.686449186138260892e+00,4.530326721546083617e-03,6.852508557139759537e-02
1.000000000000000000e+00,7.694748048246574967e+01,1.176721525160160731e-03,8.261559907595618313e+00,-3.314510984803773397e+01,1.744842560548229282e-01,-7.912946479240897668e-01,4.029819634242429949e+00,2.564365381797734322e+00,4.410462205771524362e-03,6.568399401540718496e-02
2.000000000000000000e+00,6.268172645825871570e+01,4.689939867828546612e-04,8.061943303891244028e+00,-3.238416405711151924e+01,1.731805585509538781e-01,-7.887580862688217120e-01,4.124599720054564322e+00,2.618892833206093229e+00,4.540683705832636481e-03,6.686653714016763117e-02
3.000000000000000000e+00,-7.152353051221899705e+01,3.035860469052761076e-04,8.364719683142674000e+00,-3.571541829289066072e+01,1.807806784008065271e-01,-8.039840028318281373e-01,3.960438424962386517e+00,2.522939825247439760e+00,4.264038358105992285e-03,6.524896688586072357e-02
4.000000000000000000e+00,-8.949103357680979798e+01,2.901263116428607920e-03,8.278389508377479444e+00,-3.780289002585369929e+01,1.869646237179271031e-01,-8.320344971896023178e-01,4.113257847205796125e+00,2.658886894381120136e+00,4.405775026423333803e-03,6.799959791427039046e-02
5.000000000000000000e+00,2.046116689306018088e+00,9.028930393019304066e-04,8.330961420235306392e+00,-3.452534281987708198e+01,1.776979290425156621e-01,-7.962418101838846241e-01,3.964442108986915070e+00,2.524229824664686817e+00,4.297033124968613164e-03,6.505106740389099418e-02
6.000000000000000000e+00,-1.035174313540912010e+02,1.111555991999971281e-03,7.931664410186854752e+00,-3.280638145575798603e+01,1.746018532799646916e-01,-7.918423800487096598e-01,4.178523410210076783e+00,2.657916160572445285e+00,4.588663151004453503e-03,6.777356732536657380e-02
7.000000000000000000e+00,7.660416237056955424e+01,3.403211818594046884e-04,8.341205018705963425e+00,-3.610455770902807160e+01,1.820801422916503154e-01,-8.097586787781233530e-01,3.976646586579796860e+00,2.538271972040327729e+00,4.276448684426003254e-03,6.561751649853381219e-02
8.000000000000000000e+00,-5.667057686994439791e+00,9.985023853561121078e-04,8.367115926947935378e+00,-3.596500367584536662e+01,1.814928631845006413e-01,-8.064734368873858195e-01,3.969320563515433609e+00,2.530143770887355981e+00,4.268676209197326023e-03,6.544048254534863551e-02
9.000000000000000000e+00,5.815103683643860677e+01,2.141053718558708161e-03,8.175790271956365984e+00,-3.351782313282855341e+01,1.757752478841009547e-01,-7.942966892503486864e-01,4.004486483968520361e+00,2.550215540231352662e+00,4.374131478623499193e-03,6.545466146176655287e-02
1.000000000000000000e+01,3.387758300649128387e+02,1.003210468697443569e-02,8.313269059253443061e+00,-3.319797764192246348e+01,1.743680205858368915e-01,-7.908898495082323787e-01,4.065511949095958144e+00,2.587525204299722326e+00,4.443970317263903728e-03,6.619320104620819711e-02
1.100000000000000000e+01,5.937787377587150672e+01,7.352464480738818723e-04,9.121044265425492625e+00,-4.116587236777709080e+01,1.917825496518804351e-01,-8.182468383064283035e-01,4.440291852102467018e+00,2.917359727021841653e+00,4.653647595434003657e-03,7.337349110153316978e-02
1.200000000000000000e+01,-9.288659956778765547e+01,5.718880591224581198e-04,9.139033231116039602e+00,-4.099997075181942563e+01,1.919668236203706524e-01,-8.264867316106148110e-01,4.287543156937617006e+00,2.801157310899244468e+00,4.520154681218298970e-03,7.095791150836017191e-02
1.300000000000000000e+01,6.994486484528795245e+02,2.244982986678533115e-03,9.494173757028384841e+00,-4.121298685687342811e+01,1.927486296362296292e-01,-8.397337738825227937e-01,4.073026288906484105e+00,2.646457341624651072e+00,4.325329968391573680e-03,6.773504433008151193e-02
1.400000000000000000e+01,7.509434273280588457e+01,9.396830912872395627e-04,7.582319920016237447e+00,-3.338706351926477822e+01,1.769016862576915927e-01,-7.988816060380499184e-01,4.424679291651361979e+00,2.827978266587471090e+00,4.857075484118507196e-03,7.150156021113215910e-02
1.500000000000000000e+01,3.581922293534439206e+01,7.592031064359363061e-04,8.328607300711873052e+00,-3.355854656037201522e+01,1.751877992750663915e-01,-7.917156400530676041e-01,4.042747568160279137e+00,2.573587169242660622e+00,4.406858541226145107e-03,6.595066882194644542e-02
1.600000000000000000e+01,-4.133487845726350542e+02,3.094045526387353973e-03,8.333431771077446371e+00,-3.812307702707860813e+01,1.875977809078157033e-01,-8.308426474377795801e-01,4.058824317646924307e+00,2.619383623748342327e+00,4.333779735941843334e-03,6.730418101467847136e-02
1.700000000000000000e+01,7.604659033804040291e+00,1.019750662743812127e-03,8.256261300496902322e+00,-3.279789540182925833e+01,1.736343500780660742e-01,-7.901194667280948547e-01,4.061664971567827465e+00,2.583318433096553957e+00,4.456368047872243977e-03,6.605039024826679650e-02
1.800000000000000000e+01,-9.116786608978082995e+01,1.487990132422109318e-03,8.457678299989156656e+00,-3.697212447816733061e+01,1.838724384410132251e-01,-8.122863464154874702e-01,4.052990024102762767e+00,2.588624485243661066e+00,4.330076802984435431e-03,6.683689487365757076e-02
