index,residual,b_intercept,b_nbaths,b_nbeds,b_area,b_age,se_intercept,se_nbaths,se_nbeds,se_area,se_age
0.000000000000000000e+00,1.633099268784777180e+00,1.640642753955935120e+02,2.226706242611742326e+01,-2.780089687046057634e+01,1.267095790340455330e-01,-1.532812724989932152e+00,1.001431761106638535e-01,6.796285154073747337e-02,1.443365956451397036e-01,2.506950042725239014e-04,1.220248052487110310e-02
1.000000000000000000e+00,4.307077217399200464e+01,1.465861187945536415e+02,2.054464442765938870e+01,-1.340984338034143519e+01,1.036842099066290074e-01,-6.872413617674022479e-02,1.064733892978395602e-01,6.730055661088292507e-02,1.557560017976676869e-01,2.240127347476520933e-04,1.089113999512415949e-02
2.000000000000000000e+00,1.961507769925516413e+02,1.772982453992374587e+02,2.147765826032991399e+01,-5.572001378322028131e+00,7.626886295120724468e-02,-1.394687945676927887e+00,9.699558347236811318e-02,6.806545163331648163e-02,1.431492565824827312e-01,2.081666450478644596e-04,6.966331678196688131e-03
3.000000000000000000e+00,3.230944169064987648e+01,1.503388983535867567e+02,2.212399068602824315e+01,-4.424219239667726100e+01,1.513042118784546364e-01,3.448090000112800646e-01,1.008390940235847910e-01,6.796436658785948159e-02,1.620652892178216786e-01,2.534905084893437173e-04,1.653475300655633806e-02
4.000000000000000000e+00,3.793713801848733169e+01,1.769295392622244947e+02,2.166803226758093359e+01,-1.025888268925307401e+01,7.095991374213402036e-02,-1.448253941718191662e+00,1.008177430374937456e-01,6.819532992581059383e-02,1.454984495180743631e-01,2.230612997044894815e-04,6.993797016497248394e-03
5.000000000000000000e+00,2.155542383333591658e+02,1.915891367183454292e+02,2.227860227681748029e+01,-1.367695508182568176e+02,2.071888636584374721e-01,-1.603207490079571862e+00,9.985846025765425515e-02,6.813048381294285749e-02,1.305246314991820034e-01,1.340205863003368874e-04,8.076873915657093589e-03
6.000000000000000000e+00,8.300707476563090381e+00,1.387996394000388705e+02,2.175352931622520103e+01,-2.191774330147322303e+01,8.251904133124735030e-02,-1.943689888470665039e+00,1.034310261669627445e-01,6.794665316545456246e-02,1.523008492924048385e-01,2.559604723628236154e-04,1.069714494768885318e-02
7.000000000000000000e+00,3.055222687485153799e+00,1.349752808613163779e+02,2.091202732628267569e+01,6.804385610902020654e-01,6.007791108963619897e-02,-1.550202338806352831e+00,9.780425213829273268e-02,6.758455048762357364e-02,1.402686746298641984e-01,2.347839949087289068e-04,2.938460726199869019e-02
8.000000000000000000e+00,8.817023764137042008e+01,1.405929660365432596e+02,2.361552502162847489e+01,-2.830213687097031539e+01,1.437335526169052080e-01,-2.303039896318082924e+00,1.097714380892796521e-01,6.829414321069456062e-02,1.601872707700944531e-01,1.910081972740925945e-04,1.310672555677868528e-02
9.000000000000000000e+00,-2.386775444110086397e+01,1.422388519782948890e+02,2.039110289332127834e+01,-2.420960185730905323e+01,1.071618600321606468e-01,-2.243246653307459759e+00,1.101078553838863161e-01,6.726868112035366831e-02,1.703028132043786225e-01,2.345757822170235177e-04,9.417715843271615844e-03
