index,residual,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
0.000000000000000000e+00,2.309987985453183790e-02,1.252089209678199644e-01,-1.132372387005664838e-01,5.868380569720051954e-01,-2.380599191444977558e-01,4.001253259843055854e-02,7.198994725981283649e-02,1.620792276631549400e-01,6.718783928469369837e-02
1.000000000000000000e+00,1.453735455530886234e-01,1.167280645638997250e-01,-9.460741303936168189e-02,4.718511726682099172e-01,4.078574901356460392e-02,3.958530115406726918e-02,7.534737973179463089e-02,1.186606216007293491e-01,8.032407068909354353e-02
2.000000000000000000e+00,8.141876378025058036e-01,1.212075476539814095e-01,-6.581585831843785733e-03,4.178154721487102874e-01,-7.068696298716180271e-02,4.005051498652985320e-02,7.134826515381960388e-02,1.546245420636837564e-01,5.235362516434082653e-02
3.000000000000000000e+00,3.231180675653921169e-02,1.245792792974028673e-01,-2.387034654067403672e-01,6.910330656761407564e-01,-1.405524482092191385e-01,4.000838104712058085e-02,8.088872666465199424e-02,1.547003042797875927e-01,9.661936218965343215e-02
4.000000000000000000e+00,1.672247305825693420e-01,1.222526670242406049e-01,-2.434599659675684702e-02,3.233801317212854909e-01,-7.958157175599404887e-02,4.013738026110623414e-02,7.407265489916441126e-02,1.509354978436477923e-01,5.176283901967442674e-02
5.000000000000000000e+00,1.165335301069169160e+00,1.251347322824103159e-01,-6.165982440759236738e-01,9.012558569117332663e-01,-2.090934807878214730e-01,4.012332574066407309e-02,6.560049445081991837e-02,7.519981653990884252e-02,5.919062453875103408e-02
6.000000000000000000e+00,-1.250393921697018351e-02,1.231333248353594229e-01,-9.497758168748346441e-02,5.507363286273618819e-01,-1.994937550358285294e-01,4.000291288916508342e-02,7.607592034459761954e-02,1.463573284651916440e-01,7.398782633867982683e-02
7.000000000000000000e+00,-3.356243646272496495e-01,1.190056977900242341e-01,-1.852904986911347446e-02,5.069345078220124368e-01,-9.237484318994666765e-02,3.977475147672776545e-02,6.965150464211715409e-02,1.833605866771671755e-01,8.082359268223775206e-02
8.000000000000000000e+00,3.704499264866908392e-01,1.310285883350909286e-01,-1.273952384429236639e-01,6.979783457340289488e-01,5.787923423887904317e-03,4.022656943213416547e-02,8.173232354676494837e-02,1.186271525039106073e-01,8.012669636767946746e-02
9.000000000000000000e+00,-1.325289596689097071e-02,1.158439307847266564e-01,-1.349585300298136170e-01,5.972690568662617494e-01,-5.168335304435146133e-02,3.956118210010069886e-02,8.127737949359935266e-02,1.369867411685104508e-01,7.513026628948997476e-02
